,windowsize100,windowsize50,windowsize200
100,0.8169999718666077,0.9760000109672546,
200,0.40799999237060547,0.7889999747276306,0.3479999899864197
300,0.14000000059604645,0.1550000011920929,
400,0.6259999871253967,0.10499999672174454,0.35100001096725464
500,0.31200000643730164,0.14800000190734863,
600,0.057999998331069946,0.2329999953508377,0.35600000619888306
700,0.8980000019073486,0.44200000166893005,
800,0.31299999356269836,0.27300000190734863,0.3310000002384186
900,0.8169999718666077,0.9760000109672546,
1000,0.40799999237060547,0.7889999747276306,0.3479999899864197
50,,0.13199999928474426,
150,,0.08500000089406967,
250,,0.4090000092983246,
350,,0.12399999797344208,
450,,0.6150000095367432,
550,,0.16300000250339508,
650,,0.10499999672174454,
750,,0.4970000088214874,
850,,0.13199999928474426,
950,,0.08500000089406967,
