,windowsize100,windowsize50,windowsize200
100,0.011517763137817383,0.022647500038146973,
200,0.011896967887878418,0.02256464958190918,0.006240725517272949
300,0.011995792388916016,0.020997047424316406,
400,0.010915517807006836,0.019002795219421387,0.0062406063079833984
500,0.013547420501708984,0.024640202522277832,
600,0.009930610656738281,0.019890427589416504,0.006240725517272949
700,0.012749910354614258,0.022067666053771973,
800,0.010541319847106934,0.018430590629577637,0.0062408447265625
900,0.011517524719238281,0.022647619247436523,
1000,0.011896848678588867,0.02256464958190918,0.0062408447265625
50,,0.020320653915405273,
150,,0.01977372169494629,
250,,0.02181875705718994,
350,,0.023117780685424805,
450,,0.022591233253479004,
550,,0.02329421043395996,
650,,0.022442936897277832,
750,,0.02205359935760498,
850,,0.020320773124694824,
950,,0.01977360248565674,
