,raw,resnetpca,pca,resnet
100,0.7459999918937683,0.33500000834465027,0.8159999847412109,0.4779999852180481
200,0.14000000059604645,0.4300000071525574,0.5479999780654907,0.503000020980835
300,0.20600000023841858,0.3149999976158142,0.7170000076293945,0.16500000655651093
400,0.414000004529953,0.04100000113248825,0.4819999933242798,0.11299999803304672
500,0.2759999930858612,0.4699999988079071,0.06300000101327896,0.003000000026077032
600,0.3019999861717224,0.05000000074505806,0.16899999976158142,0.00800000037997961
700,0.4189999997615814,0.054999999701976776,0.7250000238418579,0.0
800,0.00800000037997961,0.48899999260902405,0.8669999837875366,0.0
900,0.10700000077486038,0.0,0.7850000262260437,0.0
1000,0.7829999923706055,0.003000000026077032,0.22499999403953552,0.0
